customer_id,full_name,city,state,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,segment
C01785,"Aisha Verma",Pune,Maharashtra,87,8,41007.20,4,5,5,14,Champion
C00903,"Kavya Gupta",Jaipur,Rajasthan,45,7,40625.44,5,5,5,15,Champion
C00798,"Diya Reddy",Visakhapatnam,"Andhra pradesh",37,4,40416.70,5,4,5,14,Champion
C01227,"Aisha Iyer",Visakhapatnam,"Andhra pradesh",161,8,39054.60,2,5,5,12,"At Risk"
C01206,"Ria Nair",Hyderabad,Telangana,126,6,38891.76,3,5,5,13,Loyal
C01006,"Ritu Nair",Pune,Maharashtra,47,5,38472.92,5,5,5,15,Champion
C00951,"Kavya Singh",Chennai,"Tamil nadu",134,4,38309.51,2,4,5,11,"At Risk"
C01059,"Aarav Khan",Hyderabad,Telangana,123,6,38247.06,3,5,5,13,Loyal
C01584,"Kavya Khan",Visakhapatnam,"Andhra pradesh",38,7,37968.81,5,5,5,15,Champion
C00863,"Vivaan Menon",Ahmedabad,Gujarat,72,8,37848.89,4,5,5,14,Champion
C00576,"Rohan Menon",Chennai,"Tamil nadu",102,3,37761.91,3,3,5,11,Regulars
C00215,"Neha Reddy",Bengaluru,Karnataka,47,7,37741.57,5,5,5,15,Champion
C00593,"Sneha Mukherjee",Lucknow,"Uttar pradesh",65,8,37100.46,4,5,5,14,Champion
C01859,"Ritu Gupta",Bengaluru,Karnataka,124,4,37025.76,3,4,5,12,Loyal
C00425,"Rohan Mukherjee",Kolkata,"West bengal",95,6,36779.68,3,5,5,13,Loyal
C01835,"Sneha Nair",Visakhapatnam,"Andhra pradesh",36,8,36726.69,5,5,5,15,Champion
C00690,"Sanya Gupta",Bengaluru,Karnataka,52,7,36700.93,5,5,5,15,Champion
C00770,"Kabir Reddy",Mumbai,Maharashtra,79,5,36486.42,4,5,5,14,Champion
C00396,"Isha Iyer",Bengaluru,Karnataka,63,6,36455.46,4,5,5,14,Champion
C00592,"Rahul Gupta",Delhi,Delhi,38,9,36297.51,5,5,5,15,Champion
C01363,"Rohan Mukherjee",Delhi,Delhi,57,8,36240.95,5,5,5,15,Champion
C01862,"Sanya Chandra",Jaipur,Rajasthan,119,5,36030.01,3,4,5,12,Loyal
C01014,"Anvi Verma",Kochi,Kerala,63,4,35740.39,4,4,5,13,Champion
C00126,"Ananya Nair",Visakhapatnam,"Andhra pradesh",56,6,35478.21,5,5,5,15,Champion
C00729,"Rohan Iyer",Delhi,Delhi,49,7,35447.94,5,5,5,15,Champion
C00578,"Ritu Nair",Pune,Maharashtra,122,4,35286.85,3,4,5,12,Loyal
C01463,"Kabir Chandra",Mumbai,Maharashtra,83,4,34998.35,4,4,5,13,Champion
C01971,"Aarav Reddy",Pune,Maharashtra,75,7,34797.17,4,5,5,14,Champion
C00284,"Aditya Patel",Ahmedabad,Gujarat,37,6,34788.63,5,5,5,15,Champion
C00968,"Aisha Khan",Kolkata,"West bengal",44,8,33993.51,5,5,5,15,Champion
C00457,"Anvi Singh",Kolkata,"West bengal",116,5,33707.92,3,4,5,12,Loyal
C00784,"Rahul Khan",Chennai,"Tamil nadu",59,7,33492.17,5,5,5,15,Champion
C00655,"Kabir Chandra",Kolkata,"West bengal",130,5,33450.97,3,4,5,12,Loyal
C00421,"Ritu Singh",Delhi,Delhi,136,7,33340.90,2,5,5,12,"At Risk"
C01303,"Ria Iyer",Hyderabad,Telangana,147,3,33297.42,2,3,5,10,"At Risk"
C01064,"Aditya Joshi",Jaipur,Rajasthan,166,7,33125.22,2,5,5,12,"At Risk"
C01482,"Sanya Iyer",Pune,Maharashtra,82,6,33068.18,4,5,5,14,Champion
C01004,"Ria Menon",Lucknow,"Uttar pradesh",49,5,32749.45,5,5,5,15,Champion
C00335,"Samar Chowdhury",Ahmedabad,Gujarat,182,3,32675.78,2,3,5,10,"At Risk"
C00198,"Vikram Sharma",Kolkata,"West bengal",64,3,32597.88,4,3,5,12,Regulars
C01770,"Neha Das",Mumbai,Maharashtra,64,8,32555.72,4,5,5,14,Champion
C00437,"Rohan Basu",Chennai,"Tamil nadu",38,4,32494.21,5,4,5,14,Champion
C00438,"Neha Menon",Kolkata,"West bengal",56,8,32231.62,5,5,5,15,Champion
C01627,"Samar Singh",Chennai,"Tamil nadu",116,5,32219.03,3,4,5,12,Loyal
C00092,"Irfan Chowdhury",Pune,Maharashtra,137,3,32182.25,2,3,5,10,"At Risk"
C01941,"Kabir Das",Jaipur,Rajasthan,65,7,32077.69,4,5,5,14,Champion
C01384,"Aditya Patel",Mumbai,Maharashtra,107,6,31881.60,3,5,5,13,Loyal
C00101,"Aditya Verma",Kochi,Kerala,69,5,31864.80,4,5,5,14,Champion
C00295,"Aditya Patel",Jaipur,Rajasthan,65,4,31862.19,4,4,5,13,Champion
C00769,"Diya Sharma",Visakhapatnam,"Andhra pradesh",99,3,31810.36,3,3,5,11,Regulars
C00501,"Kabir Joshi",Visakhapatnam,"Andhra pradesh",93,4,31309.14,3,4,5,12,Loyal
C01572,"Sneha Reddy",Lucknow,"Uttar pradesh",143,3,31276.40,2,3,5,10,"At Risk"
C01705,"Vikram Patel",Mumbai,Maharashtra,67,8,31207.39,4,5,5,14,Champion
C01246,"Ria Menon",Bengaluru,Karnataka,148,6,31097.95,2,5,5,12,"At Risk"
C01090,"Vivaan Singh",Kolkata,"West bengal",43,5,31095.92,5,5,5,15,Champion
C00471,"Samar Nair",Ahmedabad,Gujarat,82,4,31088.73,4,4,5,13,Champion
C00852,"Sanya Joshi",Jaipur,Rajasthan,45,5,30987.60,5,5,5,15,Champion
C00626,"Isha Verma",Kolkata,"West bengal",149,4,30773.44,2,4,5,11,"At Risk"
C00961,"Aarav Khan",Hyderabad,Telangana,93,9,30623.90,3,5,5,13,Loyal
C00997,"Vikram Mukherjee",Lucknow,"Uttar pradesh",130,5,30588.11,3,4,5,12,Loyal
C00788,"Kavya Patel",Chennai,"Tamil nadu",65,7,30451.03,4,5,5,14,Champion
C00074,"Kabir Singh",Jaipur,Rajasthan,99,4,30140.88,3,4,5,12,Loyal
C01816,"Sanya Sharma",Ahmedabad,Gujarat,69,6,30064.70,4,5,5,14,Champion
C00093,"Ananya Chandra",Delhi,Delhi,131,3,29814.30,3,3,5,11,Regulars
C01449,"Anvi Mishra",Kolkata,"West bengal",128,5,29767.27,3,4,5,12,Loyal
C00022,"Aisha Menon",Ahmedabad,Gujarat,40,5,29763.41,5,5,5,15,Champion
C01256,"Ritu Basu",Bengaluru,Karnataka,82,5,29632.04,4,5,5,14,Champion
C01078,"Sneha Chowdhury",Mumbai,Maharashtra,127,3,29598.03,3,3,5,11,Regulars
C00859,"Anvi Chandra",Hyderabad,Telangana,86,3,29467.74,4,3,5,12,Regulars
C01847,"Vivaan Rao",Kolkata,"West bengal",53,4,29453.30,5,4,5,14,Champion
C00003,"Kabir Joshi",Mumbai,Maharashtra,41,4,29349.05,5,4,5,14,Champion
C01804,"Kavya Iyer",Hyderabad,Telangana,231,4,29255.87,1,3,5,9,"At Risk"
C01706,"Rohan Chowdhury",Jaipur,Rajasthan,103,4,29194.23,3,4,5,12,Loyal
C00178,"Samar Verma",Pune,Maharashtra,45,7,29184.69,5,5,5,15,Champion
C01397,"Irfan Sharma",Kochi,Kerala,304,5,29157.82,1,4,5,10,"At Risk"
C01436,"Vivaan Chandra",Lucknow,"Uttar pradesh",40,4,29100.65,5,4,5,14,Champion
C00159,"Irfan Khan",Bengaluru,Karnataka,171,6,29016.46,2,5,5,12,"At Risk"
C01771,"Anvi Khan",Bengaluru,Karnataka,38,3,28987.23,5,3,5,13,Regulars
C00377,"Isha Gupta",Delhi,Delhi,46,4,28985.27,5,4,5,14,Champion
C00410,"Vivaan Chandra",Jaipur,Rajasthan,99,6,28977.62,3,5,5,13,Loyal
C00878,"Sneha Menon",Mumbai,Maharashtra,153,7,28916.83,2,5,5,12,"At Risk"
C00296,"Aarav Joshi",Pune,Maharashtra,45,3,28914.45,5,3,5,13,Regulars
C01594,"Kabir Rao",Ahmedabad,Gujarat,65,5,28849.23,4,5,5,14,Champion
C00813,"Samar Chowdhury",Ahmedabad,Gujarat,108,7,28846.50,3,5,5,13,Loyal
C00834,"Aditya Menon",Kolkata,"West bengal",102,6,28795.53,3,5,5,13,Loyal
C00142,"Ananya Menon",Visakhapatnam,"Andhra pradesh",117,4,28712.08,3,4,5,12,Loyal
C00223,"Aarav Kulkarni",Delhi,Delhi,39,8,28666.34,5,5,5,15,Champion
C00081,"Rohan Gupta",Bengaluru,Karnataka,96,8,28581.95,3,5,5,13,Loyal
C01773,"Ria Patel",Jaipur,Rajasthan,43,5,28574.12,5,5,5,15,Champion
C01646,"Vivaan Verma",Kolkata,"West bengal",73,6,28556.14,4,5,5,14,Champion
C00932,"Vikram Gupta",Chennai,"Tamil nadu",102,4,28551.15,3,4,5,12,Loyal
C01270,"Neha Gupta",Hyderabad,Telangana,59,8,28480.80,5,5,5,15,Champion
C00150,"Kavya Menon",Jaipur,Rajasthan,178,5,28391.76,2,4,5,11,"At Risk"
C01562,"Aarav Patel",Chennai,"Tamil nadu",117,4,28389.52,3,4,5,12,Loyal
C00800,"Vivaan Khan",Kochi,Kerala,249,3,28321.84,1,2,5,8,"At Risk"
C00167,"Aditya Mukherjee",Kolkata,"West bengal",129,5,28210.38,3,4,5,12,Loyal
C01122,"Ananya Patel",Delhi,Delhi,58,7,28152.06,5,5,5,15,Champion
C01988,"Rohan Nair",Delhi,Delhi,66,10,28132.48,4,5,5,14,Champion
C00180,"Ritu Chandra",Ahmedabad,Gujarat,49,6,28010.02,5,5,5,15,Champion
C00991,"Irfan Gupta",Pune,Maharashtra,67,4,27916.83,4,4,5,13,Champion
C00720,"Rahul Mukherjee",Mumbai,Maharashtra,44,6,27912.99,5,5,5,15,Champion
C00983,"Isha Naidu",Visakhapatnam,"Andhra pradesh",141,7,27906.18,2,5,5,12,"At Risk"
C00849,"Irfan Mukherjee",Kochi,Kerala,207,5,27885.57,2,4,5,11,"At Risk"
C00912,"Kabir Kulkarni",Jaipur,Rajasthan,70,9,27757.02,4,5,5,14,Champion
C02000,"Vivaan Sharma",Hyderabad,Telangana,67,4,27722.44,4,4,5,13,Champion
C00356,"Vikram Menon",Delhi,Delhi,37,6,27696.35,5,5,5,15,Champion
C00637,"Rahul Verma",Kochi,Kerala,294,4,27677.85,1,3,5,9,"At Risk"
C00424,"Aarav Gupta",Ahmedabad,Gujarat,104,5,27609.49,3,4,5,12,Loyal
C01118,"Irfan Naidu",Delhi,Delhi,96,7,27598.39,3,5,5,13,Loyal
C00874,"Aditya Iyer",Lucknow,"Uttar pradesh",166,3,27528.29,2,3,5,10,"At Risk"
C01629,"Kabir Menon",Chennai,"Tamil nadu",58,9,27521.73,5,5,5,15,Champion
C00830,"Sanya Das",Kolkata,"West bengal",71,6,27488.47,4,5,5,14,Champion
C00525,"Ria Chandra",Mumbai,Maharashtra,63,7,27471.03,4,5,5,14,Champion
C01021,"Vikram Mishra",Hyderabad,Telangana,171,6,27458.00,2,5,5,12,"At Risk"
C01792,"Kavya Chandra",Lucknow,"Uttar pradesh",122,5,27325.86,3,4,5,12,Loyal
C00651,"Isha Basu",Jaipur,Rajasthan,45,4,26982.86,5,4,5,14,Champion
C00998,"Sanya Rao",Visakhapatnam,"Andhra pradesh",65,3,26968.63,4,3,5,12,Regulars
C01274,"Anvi Nair",Kolkata,"West bengal",74,3,26932.97,4,3,5,12,Regulars
C01024,"Ananya Basu",Lucknow,"Uttar pradesh",111,6,26790.02,3,5,5,13,Loyal
C01264,"Aisha Nair",Delhi,Delhi,45,4,26762.78,5,4,5,14,Champion
C01169,"Isha Rao",Hyderabad,Telangana,36,9,26722.09,5,5,5,15,Champion
C00696,"Aisha Khan",Jaipur,Rajasthan,51,5,26621.68,5,5,5,15,Champion
C00694,"Samar Basu",Kochi,Kerala,56,6,26535.26,5,5,5,15,Champion
C01926,"Samar Singh",Lucknow,"Uttar pradesh",93,6,26523.63,3,5,5,13,Loyal
C01709,"Aarav Chandra",Jaipur,Rajasthan,111,6,26499.35,3,5,5,13,Loyal
C00545,"Aarav Singh",Hyderabad,Telangana,116,6,26482.48,3,5,5,13,Loyal
C01427,"Vivaan Gupta",Kolkata,"West bengal",138,3,26461.73,2,3,5,10,"At Risk"
C00646,"Aditya Sharma",Visakhapatnam,"Andhra pradesh",135,5,26384.54,2,4,5,11,"At Risk"
C01951,"Ananya Mukherjee",Jaipur,Rajasthan,168,5,26358.42,2,4,5,11,"At Risk"
C01445,"Ritu Iyer",Pune,Maharashtra,170,4,26345.32,2,4,5,11,"At Risk"
C00240,"Rohan Das",Visakhapatnam,"Andhra pradesh",50,4,26339.53,5,4,5,14,Champion
C01790,"Vivaan Nair",Chennai,"Tamil nadu",65,9,26320.08,4,5,5,14,Champion
C01030,"Rahul Mishra",Hyderabad,Telangana,49,2,26164.96,5,2,5,12,Regulars
C01796,"Aisha Verma",Mumbai,Maharashtra,87,7,26156.45,4,5,5,14,Champion
C00108,"Kabir Joshi",Jaipur,Rajasthan,229,5,26120.50,1,4,5,10,"At Risk"
C01158,"Samar Chandra",Pune,Maharashtra,65,5,26101.07,4,5,5,14,Champion
C00444,"Anvi Iyer",Visakhapatnam,"Andhra pradesh",43,8,26071.68,5,5,5,15,Champion
C00168,"Ria Naidu",Lucknow,"Uttar pradesh",59,9,26021.76,5,5,5,15,Champion
C00701,"Rohan Iyer",Bengaluru,Karnataka,68,8,26011.10,4,5,5,14,Champion
C01334,"Irfan Rao",Jaipur,Rajasthan,62,3,25895.81,4,3,5,12,Regulars
C01960,"Sneha Gupta",Bengaluru,Karnataka,399,1,25761.34,1,1,5,7,"At Risk"
C01924,"Neha Mukherjee",Ahmedabad,Gujarat,85,5,25739.49,4,5,5,14,Champion
C00751,"Samar Joshi",Ahmedabad,Gujarat,88,3,25550.29,4,3,5,12,Regulars
C00640,"Ria Joshi",Chennai,"Tamil nadu",53,7,25522.68,5,5,5,15,Champion
C01923,"Ananya Gupta",Delhi,Delhi,144,6,25519.22,2,5,5,12,"At Risk"
C00716,"Sneha Das",Mumbai,Maharashtra,147,6,25449.27,2,5,5,12,"At Risk"
C00876,"Isha Iyer",Visakhapatnam,"Andhra pradesh",58,6,25417.19,5,5,5,15,Champion
C01688,"Aarav Khan",Lucknow,"Uttar pradesh",121,5,25415.43,3,4,5,12,Loyal
C01425,"Ria Chowdhury",Visakhapatnam,"Andhra pradesh",41,8,25337.65,5,5,5,15,Champion
C00276,"Vivaan Naidu",Chennai,"Tamil nadu",200,6,25248.52,2,5,5,12,"At Risk"
C00673,"Aarav Singh",Visakhapatnam,"Andhra pradesh",41,5,25207.30,5,5,5,15,Champion
C00555,"Kabir Gupta",Kochi,Kerala,183,4,25168.34,2,4,5,11,"At Risk"
C00795,"Samar Verma",Bengaluru,Karnataka,97,5,25158.95,3,5,5,13,Loyal
C01894,"Ananya Reddy",Kolkata,"West bengal",77,5,25157.06,4,5,5,14,Champion
C01278,"Vikram Mukherjee",Kochi,Kerala,196,3,25134.51,2,2,5,9,"At Risk"
C01347,"Kabir Singh",Delhi,Delhi,42,9,25114.13,5,5,5,15,Champion
C01836,"Neha Basu",Hyderabad,Telangana,142,6,25063.83,2,5,5,12,"At Risk"
C01047,"Rohan Mishra",Bengaluru,Karnataka,100,6,24991.40,3,5,5,13,Loyal
C01187,"Ria Reddy",Visakhapatnam,"Andhra pradesh",39,10,24974.39,5,5,5,15,Champion
C01748,"Kabir Nair",Kochi,Kerala,40,6,24969.39,5,5,5,15,Champion
C01465,"Sanya Verma",Hyderabad,Telangana,98,6,24933.34,3,5,5,13,Loyal
C00832,"Rahul Nair",Chennai,"Tamil nadu",107,5,24932.48,3,4,5,12,Loyal
C01937,"Aarav Chowdhury",Visakhapatnam,"Andhra pradesh",49,10,24908.50,5,5,5,15,Champion
C01913,"Neha Naidu",Hyderabad,Telangana,159,5,24865.45,2,4,5,11,"At Risk"
C00959,"Rohan Kulkarni",Kochi,Kerala,148,5,24857.60,2,4,5,11,"At Risk"
C00559,"Diya Das",Kochi,Kerala,42,7,24833.40,5,5,5,15,Champion
C01667,"Ritu Naidu",Kolkata,"West bengal",194,4,24783.05,2,3,5,10,"At Risk"
C01637,"Ritu Verma",Pune,Maharashtra,134,5,24712.23,2,4,5,11,"At Risk"
C00927,"Kavya Mukherjee",Ahmedabad,Gujarat,107,8,24675.78,3,5,5,13,Loyal
C01531,"Sanya Kulkarni",Chennai,"Tamil nadu",43,4,24603.59,5,4,5,14,Champion
C01657,"Rahul Joshi",Mumbai,Maharashtra,171,3,24541.41,2,3,5,10,"At Risk"
C01540,"Sanya Joshi",Bengaluru,Karnataka,83,6,24456.88,4,5,5,14,Champion
C01697,"Sneha Das",Bengaluru,Karnataka,128,3,24443.73,3,3,5,11,Regulars
C01149,"Neha Reddy",Visakhapatnam,"Andhra pradesh",241,4,24397.49,1,3,5,9,"At Risk"
C00543,"Irfan Iyer",Delhi,Delhi,174,6,24332.75,2,5,5,12,"At Risk"
C00415,"Aditya Chowdhury",Jaipur,Rajasthan,128,4,24255.51,3,4,5,12,Loyal
C01614,"Diya Reddy",Lucknow,"Uttar pradesh",67,5,24223.41,4,5,5,14,Champion
C00430,"Ritu Kulkarni",Jaipur,Rajasthan,60,7,24206.41,5,5,5,15,Champion
C00613,"Aarav Chowdhury",Mumbai,Maharashtra,70,5,24196.61,4,5,5,14,Champion
C00633,"Sneha Khan",Lucknow,"Uttar pradesh",45,6,24183.68,5,5,5,15,Champion
C01037,"Samar Basu",Kolkata,"West bengal",118,6,24161.36,3,5,5,13,Loyal
C01402,"Diya Rao",Kolkata,"West bengal",75,5,24079.85,4,5,5,14,Champion
C00603,"Rahul Chandra",Lucknow,"Uttar pradesh",123,5,24071.34,3,4,5,12,Loyal
C01590,"Rohan Khan",Bengaluru,Karnataka,252,3,24041.63,1,2,5,8,"At Risk"
C00705,"Anvi Chowdhury",Kolkata,"West bengal",106,4,24028.73,3,4,5,12,Loyal
C00505,"Ritu Iyer",Kochi,Kerala,128,4,23894.84,3,4,5,12,Loyal
C00470,"Rahul Joshi",Delhi,Delhi,164,5,23781.21,2,4,5,11,"At Risk"
C00742,"Aditya Iyer",Lucknow,"Uttar pradesh",72,6,23780.87,4,5,5,14,Champion
C00451,"Irfan Sharma",Pune,Maharashtra,106,4,23738.28,3,4,5,12,Loyal
C00490,"Aisha Das",Jaipur,Rajasthan,97,6,23719.04,3,5,5,13,Loyal
C00050,"Anvi Singh",Lucknow,"Uttar pradesh",201,5,23700.87,2,4,5,11,"At Risk"
C01882,"Aisha Nair",Mumbai,Maharashtra,52,7,23684.20,5,5,5,15,Champion
C01601,"Aditya Nair",Kochi,Kerala,48,4,23683.29,5,4,5,14,Champion
C00538,"Rahul Gupta",Kolkata,"West bengal",131,6,23680.99,3,5,5,13,Loyal
C01750,"Anvi Das",Kolkata,"West bengal",61,4,23673.31,4,4,5,13,Champion
C00957,"Ritu Rao",Mumbai,Maharashtra,110,4,23647.95,3,4,5,12,Loyal
C01970,"Isha Kulkarni",Ahmedabad,Gujarat,115,4,23629.31,3,4,5,12,Loyal
C00568,"Kabir Menon",Bengaluru,Karnataka,42,4,23612.43,5,4,5,14,Champion
C01201,"Vivaan Chowdhury",Lucknow,"Uttar pradesh",71,5,23597.51,4,5,5,14,Champion
C00707,"Samar Kulkarni",Lucknow,"Uttar pradesh",67,5,23592.48,4,5,5,14,Champion
C00401,"Vikram Kulkarni",Chennai,"Tamil nadu",85,8,23541.14,4,5,5,14,Champion
C01489,"Vikram Reddy",Ahmedabad,Gujarat,94,6,23530.31,3,5,5,13,Loyal
C00323,"Rahul Sharma",Hyderabad,Telangana,129,4,23409.58,3,4,5,12,Loyal
C00632,"Irfan Naidu",Jaipur,Rajasthan,93,3,23400.75,3,3,5,11,Regulars
C01901,"Vikram Verma",Delhi,Delhi,62,5,23378.56,4,5,5,14,Champion
C01157,"Diya Khan",Kochi,Kerala,58,6,23377.51,5,5,5,15,Champion
C01058,"Rohan Joshi",Kochi,Kerala,92,10,23343.20,4,5,5,14,Champion
C01083,"Ananya Iyer",Chennai,"Tamil nadu",140,5,23326.93,2,4,5,11,"At Risk"
C00390,"Ritu Joshi",Pune,Maharashtra,85,6,23322.53,4,5,5,14,Champion
C00164,"Ritu Sharma",Pune,Maharashtra,50,6,23295.83,5,5,5,15,Champion
C00787,"Aarav Iyer",Pune,Maharashtra,68,6,23241.60,4,5,5,14,Champion
C01809,"Kavya Mukherjee",Kochi,Kerala,64,7,23237.21,4,5,5,14,Champion
C01934,"Aditya Das",Ahmedabad,Gujarat,102,6,23215.79,3,5,5,13,Loyal
C01140,"Kavya Reddy",Chennai,"Tamil nadu",140,8,23205.20,2,5,5,12,"At Risk"
C00857,"Isha Mukherjee",Kolkata,"West bengal",105,6,23188.33,3,5,5,13,Loyal
C01823,"Kabir Khan",Lucknow,"Uttar pradesh",91,7,23156.39,4,5,5,14,Champion
C00847,"Aarav Mukherjee",Jaipur,Rajasthan,143,4,23148.96,2,4,5,11,"At Risk"
C00435,"Aditya Gupta",Kochi,Kerala,66,7,23142.09,4,5,5,14,Champion
C00134,"Vivaan Chandra",Chennai,"Tamil nadu",128,4,23134.84,3,4,5,12,Loyal
C01662,"Aditya Kulkarni",Visakhapatnam,"Andhra pradesh",168,4,23131.62,2,4,5,11,"At Risk"
C01607,"Ritu Basu",Kolkata,"West bengal",140,4,23052.44,2,4,5,11,"At Risk"
C00910,"Vikram Reddy",Mumbai,Maharashtra,170,5,23007.15,2,4,5,11,"At Risk"
C00094,"Irfan Chowdhury",Kochi,Kerala,133,6,22959.49,3,5,5,13,Loyal
C01193,"Aditya Chowdhury",Bengaluru,Karnataka,36,5,22925.09,5,5,5,15,Champion
C01389,"Rahul Mishra",Lucknow,"Uttar pradesh",49,6,22917.97,5,5,5,15,Champion
C01437,"Kabir Mishra",Kolkata,"West bengal",136,6,22904.57,2,5,5,12,"At Risk"
C00898,"Rohan Chowdhury",Delhi,Delhi,84,3,22903.21,4,3,5,12,Regulars
C00641,"Rohan Nair",Mumbai,Maharashtra,36,7,22898.14,5,5,5,15,Champion
C01766,"Kabir Verma",Delhi,Delhi,63,5,22776.91,4,5,5,14,Champion
C00157,"Ritu Menon",Hyderabad,Telangana,156,4,22767.91,2,4,5,11,"At Risk"
C01091,"Aarav Mukherjee",Delhi,Delhi,54,6,22764.57,5,5,5,15,Champion
C00213,"Sanya Sharma",Jaipur,Rajasthan,58,6,22749.84,5,5,5,15,Champion
C01302,"Kabir Sharma",Kochi,Kerala,70,8,22696.31,4,5,5,14,Champion
C01883,"Neha Khan",Hyderabad,Telangana,105,7,22687.02,3,5,5,13,Loyal
C01351,"Isha Mishra",Hyderabad,Telangana,70,5,22681.10,4,5,5,14,Champion
C01578,"Ria Verma",Kochi,Kerala,106,3,22678.41,3,3,5,11,Regulars
C01039,"Anvi Patel",Visakhapatnam,"Andhra pradesh",227,7,22669.12,1,5,5,11,"At Risk"
C00785,"Kavya Singh",Ahmedabad,Gujarat,115,7,22602.51,3,5,5,13,Loyal
C01582,"Kavya Menon",Pune,Maharashtra,180,5,22575.69,2,4,5,11,"At Risk"
C00926,"Aarav Gupta",Mumbai,Maharashtra,42,7,22551.69,5,5,5,15,Champion
